,Age,Income,No of Years,FreqBra,FreqATM,FreqPOS,FreqInt,cust_care_score,complaints_score,branches_score,exec_eff_score,prod_score,val_for_money_score,cluster,Age_bin,Income_bin,Bank,Gender,Most frequently used Bank,Location,Education,Employment Category,Changeplan,FromBank,ToBank
31205,19,25000.0,1.0,6.0,30.0,0.5,0.5,16.0,15.0,0.0,6.0,0.0,14.0,0,18-20,"Below N50,000",Bank H,Male,Bank H,Lagos,Secondary school leaving certificate,Student,No,,
31207,50.5,25000.0,1.0,2.0,2.0,0.0,0.0,-11.0,18.0,7.0,54.0,35.0,8.0,0,41-60,"Below N50,000",Bank H,Male,Bank H,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31209,25.5,25000.0,8.0,0.5,6.0,2.0,0.0,0.0,60.0,42.0,21.0,50.0,20.0,3,21-30,"Below N50,000",Bank C,Male,Bank C,Lagos,Bachelor's Decree,Unemployed,No,,
31210,33,25000.0,2.0,6.0,6.0,0.5,0.5,49.0,28.0,31.0,40.0,17.0,20.0,3,31-35,"Below N50,000",Bank H,Male,Bank H,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31211,33,25000.0,3.0,6.0,6.0,0.5,0.5,20.0,28.0,82.0,30.0,25.0,20.0,3,31-35,"Below N50,000",Bank K,Male,Bank H,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31212,19,25000.0,1.0,6.0,6.0,6.0,0.5,-5.0,0.0,44.0,30.0,20.0,9.0,0,18-20,"Below N50,000",Bank B,Male,Bank C,Lagos,Secondary school leaving certificate,Student,No,,
31213,19,25000.0,2.0,6.0,6.0,6.0,0.5,55.0,0.0,64.0,30.0,30.0,9.0,3,18-20,"Below N50,000",Bank A,Male,Bank C,Lagos,Secondary school leaving certificate,Student,No,,
31215,19,25000.0,2.0,6.0,6.0,6.0,0.5,38.0,0.0,16.0,30.0,20.0,9.0,0,18-20,"Below N50,000",Bank Q,Male,Bank C,Lagos,Secondary school leaving certificate,Student,No,,
31226,33,75000.0,10.0,2.0,30.0,6.0,6.0,30.0,24.0,60.0,30.0,30.0,0.0,0,31-35,"N50,000 - N100,000",Bank C,Female,Bank C,Lagos,OND/HND,No Response,No,,
31227,33,75000.0,15.0,2.0,30.0,6.0,6.0,-40.0,-24.0,-20.0,0.0,10.0,0.0,0,31-35,"N50,000 - N100,000",Bank F,Female,Bank C,Lagos,OND/HND,No Response,No,,
31228,38,75000.0,12.0,6.0,2.0,0.5,0.0,56.0,21.0,30.0,20.0,18.0,0.0,2,36-40,"N50,000 - N100,000",Bank J,Male,Bank J,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
31229,38,75000.0,14.0,6.0,2.0,0.5,0.0,48.0,7.0,42.0,25.0,14.0,2.0,2,36-40,"N50,000 - N100,000",Bank G,Male,Bank J,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
31230,25.5,25000.0,1.0,6.0,6.0,2.0,0.5,5.0,0.0,-2.0,10.0,10.0,0.0,0,21-30,"Below N50,000",Bank H,Male,Bank C,Lagos,Bachelor's Decree,Others,No,,
31231,25.5,25000.0,2.0,6.0,6.0,2.0,0.5,18.0,-10.0,-2.0,20.0,10.0,0.0,0,21-30,"Below N50,000",Bank D,Male,Bank C,Lagos,Bachelor's Decree,Others,No,,
31232,25.5,25000.0,7.0,6.0,6.0,2.0,0.5,31.0,20.0,-12.0,20.0,10.0,0.0,0,21-30,"Below N50,000",Bank C,Male,Bank C,Lagos,Bachelor's Decree,Others,No,,
31233,25.5,25000.0,7.0,0.5,6.0,0.0,0.0,40.0,30.0,60.0,30.0,30.0,10.0,3,21-30,"Below N50,000",Bank L,Female,Bank L,Lagos,Bachelor's Decree,Self Employed,No,,
31234,25.5,25000.0,1.0,0.5,6.0,0.0,0.0,60.0,40.0,60.0,20.0,30.0,10.0,3,21-30,"Below N50,000",Bank N,Female,Bank L,Lagos,Bachelor's Decree,Self Employed,No,,
31246,25.5,25000.0,1.0,2.0,6.0,6.0,0.5,52.0,0.0,26.0,0.0,14.0,14.0,0,21-30,"Below N50,000",Bank H,Female,Bank H,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
31247,25.5,25000.0,7.0,2.0,6.0,6.0,0.5,16.0,14.0,22.0,10.0,22.0,0.0,0,21-30,"Below N50,000",Bank B,Female,Bank H,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
31250,50.5,175000.0,3.0,6.0,6.0,6.0,6.0,29.0,20.0,15.0,20.0,20.0,10.0,2,41-60,"N101,000 - N250,000",Bank H,Male,Bank H,Lagos,Master's Degree,Self Employed,No,,
31251,50.5,175000.0,9.0,6.0,6.0,6.0,6.0,6.0,0.0,20.0,-20.0,-10.0,-10.0,0,41-60,"N101,000 - N250,000",Bank B,Male,Bank H,Lagos,Master's Degree,Self Employed,No,,
31252,50.5,175000.0,7.0,6.0,6.0,6.0,6.0,29.0,10.0,25.0,20.0,20.0,10.0,2,41-60,"N101,000 - N250,000",Bank C,Male,Bank H,Lagos,Master's Degree,Self Employed,No,,
31253,25.5,75000.0,4.0,30.0,6.0,2.0,6.0,46.0,1.0,56.0,14.0,36.0,0.0,0,21-30,"N50,000 - N100,000",Bank H,Male,,Lagos,Bachelor's Decree,Self Employed,No,,
31254,25.5,75000.0,4.0,30.0,6.0,2.0,6.0,55.0,42.0,100.0,-7.0,6.0,0.0,0,21-30,"N50,000 - N100,000",Bank F,Male,,Lagos,Bachelor's Decree,Self Employed,No,,
31259,25.5,25000.0,5.0,2.0,6.0,0.0,6.0,16.0,17.0,55.0,14.0,33.0,14.0,0,21-30,"Below N50,000",Bank B,Male,Bank B,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
31260,25.5,25000.0,2.0,2.0,6.0,0.0,6.0,16.0,17.0,62.0,0.0,33.0,21.0,0,21-30,"Below N50,000",Bank C,Male,Bank B,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
31286,50.5,375000.0,10.0,6.0,6.0,2.0,2.0,60.0,20.0,100.0,-10.0,10.0,20.0,2,41-60,"N251,000 - N500,000",Bank H,Female,Bank N,Lagos,PHD,Private Sector Employee,No,,
31287,50.5,375000.0,12.0,6.0,6.0,2.0,2.0,70.0,30.0,100.0,0.0,30.0,20.0,2,41-60,"N251,000 - N500,000",Bank N,Female,Bank N,Lagos,PHD,Private Sector Employee,No,,
31288,33,175000.0,3.0,2.0,6.0,6.0,0.0,2.0,14.0,10.0,20.0,20.0,0.0,0,31-35,"N101,000 - N250,000",Bank Q,Male,Bank A,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31289,33,175000.0,6.0,2.0,6.0,6.0,0.0,8.0,14.0,40.0,20.0,20.0,10.0,0,31-35,"N101,000 - N250,000",Bank A,Male,Bank A,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31293,50.5,175000.0,14.0,30.0,30.0,6.0,2.0,35.0,28.0,40.0,28.0,21.0,8.0,2,41-60,"N101,000 - N250,000",Bank H,Female,Bank H,Lagos,PHD,Civil/Public Servant,No,,
31294,50.5,175000.0,7.0,30.0,30.0,6.0,2.0,34.0,8.0,40.0,14.0,21.0,8.0,2,41-60,"N101,000 - N250,000",Bank L,Female,Bank H,Lagos,PHD,Civil/Public Servant,No,,
31311,65,375000.0,10.0,2.0,6.0,2.0,2.0,23.0,36.0,76.0,8.0,8.0,0.0,2,Above 60,"N251,000 - N500,000",Bank M,Female,,Lagos,Master's Degree,Self Employed,No,,
31312,65,375000.0,10.0,2.0,6.0,2.0,2.0,16.0,22.0,61.0,0.0,16.0,10.0,2,Above 60,"N251,000 - N500,000",Bank O,Female,,Lagos,Master's Degree,Self Employed,No,,
31315,50.5,375000.0,5.0,2.0,6.0,0.0,0.0,37.0,15.0,40.0,14.0,14.0,6.0,2,41-60,"N251,000 - N500,000",Bank P,Male,Bank P,Lagos,Master's Degree,Private Sector Employee,No,,
31316,50.5,375000.0,10.0,2.0,6.0,0.0,0.0,37.0,15.0,40.0,14.0,14.0,6.0,2,41-60,"N251,000 - N500,000",Bank N,Male,Bank P,Lagos,Master's Degree,Private Sector Employee,No,,
31327,50.5,75000.0,10.0,2.0,6.0,6.0,2.0,-60.0,-20.0,30.0,-20.0,0.0,-10.0,0,41-60,"N50,000 - N100,000",Bank L,Male,Bank C,Lagos,Master's Degree,Private Sector Employee,Yes,Bank L,
31329,50.5,175000.0,14.0,2.0,6.0,6.0,6.0,20.0,0.0,50.0,10.0,10.0,0.0,2,41-60,"N101,000 - N250,000",Bank A,Female,,Lagos,Primary School leaving certificate,Civil/Public Servant,No,,
31331,19,25000.0,2.0,0.5,6.0,0.0,0.0,54.0,40.0,60.0,0.0,20.0,10.0,3,18-20,"Below N50,000",Bank C,Female,Bank C,Lagos,Primary School leaving certificate,Student,No,,
31336,25.5,25000.0,5.0,0.5,6.0,2.0,2.0,16.0,-20.0,20.0,28.0,20.0,0.0,0,21-30,"Below N50,000",Bank D,Male,Bank D,Lagos,Bachelor's Decree,Student,No,,
31338,19,25000.0,3.0,0.5,6.0,30.0,0.5,-20.0,-20.0,20.0,10.0,30.0,0.0,1,18-20,"Below N50,000",Bank H,Female,Bank B,Lagos,Secondary school leaving certificate,Student,No,,
31339,19,25000.0,4.0,0.5,6.0,30.0,0.5,40.0,20.0,30.0,10.0,30.0,20.0,1,18-20,"Below N50,000",Bank B,Female,Bank B,Lagos,Secondary school leaving certificate,Student,No,,
31344,25.5,25000.0,3.0,2.0,6.0,2.0,0.5,8.0,0.0,30.0,7.0,7.0,0.0,0,21-30,"Below N50,000",Bank C,Male,Bank C,Lagos,Bachelor's Decree,Student,No,,
31347,25.5,375000.0,3.0,2.0,6.0,0.0,0.0,40.0,20.0,60.0,-40.0,-30.0,10.0,0,21-30,"N251,000 - N500,000",Bank C,Female,Bank C,Lagos,Secondary school leaving certificate,Self Employed,No,,
31348,50.5,175000.0,15.0,2.0,6.0,2.0,2.0,40.0,30.0,80.0,20.0,10.0,10.0,2,41-60,"N101,000 - N250,000",Bank D,Male,Bank J,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
31349,50.5,175000.0,12.0,2.0,6.0,2.0,2.0,50.0,20.0,90.0,10.0,20.0,0.0,2,41-60,"N101,000 - N250,000",Bank J,Male,Bank J,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
31354,33,75000.0,14.0,6.0,6.0,0.5,2.0,30.0,20.0,0.0,28.0,14.0,7.0,0,31-35,"N50,000 - N100,000",Bank O,Female,Bank O,Lagos,OND/HND,Self Employed,No,,
31360,19,25000.0,2.0,2.0,6.0,0.0,2.0,60.0,38.0,84.0,40.0,-10.0,10.0,3,18-20,"Below N50,000",Bank C,Male,,Lagos,Secondary school leaving certificate,Student,No,,
31362,38,175000.0,10.0,6.0,30.0,0.0,0.0,65.0,30.0,82.0,57.0,27.0,30.0,3,36-40,"N101,000 - N250,000",Bank H,Male,Bank H,Lagos,Secondary school leaving certificate,Self Employed,No,,
31364,33,25000.0,10.0,6.0,30.0,0.5,0.0,43.0,29.0,31.0,7.0,28.0,-8.0,0,31-35,"Below N50,000",Bank E,Male,Bank E,Lagos,No Response,Self Employed,No,,
31366,25.5,75000.0,10.0,6.0,6.0,0.0,0.0,-30.0,-30.0,-100.0,-20.0,-20.0,-10.0,0,21-30,"N50,000 - N100,000",Bank K,Female,Bank F,Lagos,Secondary school leaving certificate,Self Employed,Yes,Bank F,Bank C
31367,25.5,25000.0,9.0,2.0,6.0,2.0,0.0,-20.0,-30.0,-50.0,-30.0,-40.0,-20.0,0,21-30,"Below N50,000",Bank C,Male,Bank C,Lagos,Bachelor's Decree,Self Employed,No,,
31368,25.5,25000.0,2.0,2.0,6.0,2.0,0.0,-30.0,-20.0,-70.0,-40.0,-30.0,-20.0,0,21-30,"Below N50,000",Bank A,Male,Bank C,Lagos,Bachelor's Decree,Self Employed,No,,
31375,33,75000.0,10.0,0.5,6.0,2.0,0.5,70.0,39.0,78.0,16.0,10.0,27.0,3,31-35,"N50,000 - N100,000",Bank B,Female,Bank P,Lagos,OND/HND,Private Sector Employee,No,,
31376,33,75000.0,3.0,0.5,6.0,2.0,0.5,44.0,41.0,52.0,0.0,20.0,27.0,3,31-35,"N50,000 - N100,000",Bank P,Female,Bank P,Lagos,OND/HND,Private Sector Employee,No,,
31377,33,75000.0,10.0,2.0,6.0,0.5,2.0,81.0,40.0,99.0,34.0,27.0,20.0,3,31-35,"N50,000 - N100,000",Bank H,Female,Bank H,Lagos,OND/HND,Private Sector Employee,No,,
31378,33,75000.0,12.0,2.0,6.0,0.5,2.0,-20.0,-40.0,-40.0,-25.0,7.0,-10.0,0,31-35,"N50,000 - N100,000",Bank J,Female,Bank H,Lagos,OND/HND,Private Sector Employee,No,,
31381,25.5,25000.0,5.0,2.0,6.0,2.0,2.0,0.0,21.0,7.0,1.0,14.0,-10.0,0,21-30,"Below N50,000",Bank K,Female,,Lagos,Secondary school leaving certificate,Student,No,,
31382,25.5,25000.0,4.0,2.0,6.0,2.0,2.0,29.0,-1.0,0.0,18.0,23.0,0.0,0,21-30,"Below N50,000",Bank I,Female,,Lagos,Secondary school leaving certificate,Student,No,,
31383,25.5,25000.0,4.0,2.0,6.0,2.0,2.0,35.0,-7.0,4.0,13.0,24.0,10.0,0,21-30,"Below N50,000",Bank O,Female,,Lagos,Secondary school leaving certificate,Student,No,,
31384,33,175000.0,12.0,6.0,6.0,2.0,2.0,45.0,22.0,63.0,0.0,30.0,18.0,2,31-35,"N101,000 - N250,000",Bank C,Male,Bank M,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31385,33,175000.0,10.0,6.0,6.0,2.0,2.0,27.0,29.0,-9.0,10.0,20.0,0.0,0,31-35,"N101,000 - N250,000",Bank F,Male,Bank M,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31386,33,175000.0,3.0,6.0,6.0,2.0,2.0,27.0,8.0,54.0,40.0,40.0,-6.0,0,31-35,"N101,000 - N250,000",,Male,Bank M,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31387,33,175000.0,5.0,6.0,6.0,2.0,2.0,27.0,-13.0,45.0,30.0,30.0,0.0,0,31-35,"N101,000 - N250,000",Bank M,Male,Bank M,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31398,38,175000.0,2.0,2.0,6.0,2.0,0.5,31.0,25.0,68.0,16.0,-1.0,16.0,0,36-40,"N101,000 - N250,000",Bank Q,Female,Bank M,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31399,38,175000.0,12.0,2.0,6.0,2.0,0.5,63.0,11.0,45.0,6.0,7.0,0.0,2,36-40,"N101,000 - N250,000",Bank A,Female,Bank M,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31400,38,175000.0,10.0,2.0,6.0,2.0,0.5,37.0,32.0,38.0,16.0,23.0,0.0,2,36-40,"N101,000 - N250,000",Bank M,Female,Bank M,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31401,33,175000.0,9.0,2.0,6.0,2.0,2.0,25.0,0.0,70.0,1.0,39.0,-10.0,0,31-35,"N101,000 - N250,000",Bank B,Male,Bank E,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
31402,33,175000.0,9.0,2.0,6.0,2.0,2.0,18.0,-8.0,46.0,-7.0,24.0,-10.0,0,31-35,"N101,000 - N250,000",Bank F,Male,Bank E,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
31403,33,175000.0,6.0,2.0,6.0,2.0,2.0,42.0,24.0,52.0,16.0,-6.0,20.0,0,31-35,"N101,000 - N250,000",Bank E,Male,Bank E,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
31407,33,175000.0,10.0,2.0,6.0,6.0,2.0,54.0,7.0,88.0,27.0,22.0,9.0,3,31-35,"N101,000 - N250,000",Bank G,Male,,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
31408,33,175000.0,10.0,2.0,6.0,6.0,2.0,27.0,-8.0,15.0,11.0,1.0,18.0,0,31-35,"N101,000 - N250,000",Bank B,Male,,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
31409,33,175000.0,4.0,2.0,6.0,6.0,2.0,73.0,7.0,36.0,20.0,15.0,18.0,3,31-35,"N101,000 - N250,000",Bank P,Male,,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
31418,25.5,75000.0,3.0,2.0,6.0,6.0,2.0,56.0,25.0,47.0,0.0,6.0,0.0,0,21-30,"N50,000 - N100,000",Bank Q,Male,Bank Q,Lagos,OND/HND,Self Employed,No,,
31419,25.5,75000.0,7.0,2.0,6.0,6.0,2.0,15.0,34.0,39.0,16.0,6.0,0.0,0,21-30,"N50,000 - N100,000",Bank A,Male,Bank Q,Lagos,OND/HND,Self Employed,No,,
31421,50.5,75000.0,10.0,2.0,6.0,0.0,30.0,80.0,36.0,50.0,28.0,5.0,14.0,1,41-60,"N50,000 - N100,000",Bank C,Male,Bank C,Lagos,Bachelor's Decree,Self Employed,No,,
31422,33,25000.0,4.0,2.0,2.0,0.5,0.0,-30.0,0.0,-3.0,20.0,-20.0,-20.0,0,31-35,"Below N50,000",Bank L,Male,,Lagos,Bachelor's Decree,Student,No,,
31425,19,25000.0,1.0,0.5,6.0,0.5,6.0,-40.0,20.0,-10.0,-10.0,-10.0,20.0,0,18-20,"Below N50,000",Bank A,Male,Bank C,Lagos,Secondary school leaving certificate,Student,No,,
31430,25.5,25000.0,4.0,6.0,30.0,0.0,0.0,10.0,-15.0,31.0,14.0,11.0,10.0,0,21-30,"Below N50,000",Bank C,Male,Bank A,Lagos,Secondary school leaving certificate,Student,No,,
31431,25.5,25000.0,5.0,6.0,30.0,0.0,0.0,1.0,40.0,35.0,4.0,-21.0,0.0,0,21-30,"Below N50,000",Bank A,Male,Bank A,Lagos,Secondary school leaving certificate,Student,No,,
31433,25.5,25000.0,4.0,0.5,6.0,6.0,2.0,107.0,32.0,52.0,21.0,-11.0,0.0,0,21-30,"Below N50,000",Bank C,Male,Bank A,Lagos,Bachelor's Decree,Student,No,,
31434,25.5,25000.0,3.0,0.5,6.0,6.0,2.0,20.0,16.0,102.0,45.0,6.0,10.0,3,21-30,"Below N50,000",Bank A,Male,Bank A,Lagos,Bachelor's Decree,Student,No,,
31435,33,75000.0,8.0,0.5,6.0,2.0,2.0,7.0,-8.0,-22.0,29.0,36.0,20.0,0,31-35,"N50,000 - N100,000",Bank C,Male,Bank C,Lagos,Master's Degree,Civil/Public Servant,No,,
31445,33,25000.0,4.0,6.0,30.0,0.0,0.0,20.0,30.0,90.0,28.0,28.0,0.0,3,31-35,"Below N50,000",Bank H,Male,Bank F,Lagos,Master's Degree,Self Employed,No,,
31446,33,25000.0,5.0,6.0,30.0,0.0,0.0,30.0,50.0,110.0,35.0,14.0,0.0,3,31-35,"Below N50,000",Bank D,Male,Bank F,Lagos,Master's Degree,Self Employed,No,,
31447,33,25000.0,8.0,6.0,30.0,0.0,0.0,40.0,30.0,110.0,35.0,14.0,0.0,3,31-35,"Below N50,000",Bank J,Male,Bank F,Lagos,Master's Degree,Self Employed,No,,
31452,19,75000.0,2.0,2.0,6.0,0.5,2.0,60.0,20.0,30.0,28.0,36.0,8.0,3,18-20,"N50,000 - N100,000",Bank H,Male,Bank H,Lagos,Secondary school leaving certificate,Student,No,,
31453,19,25000.0,4.0,2.0,6.0,0.5,0.0,22.0,20.0,71.0,29.0,39.0,18.0,3,18-20,"Below N50,000",Bank A,Male,Bank A,Lagos,Secondary school leaving certificate,Student,No,,
31455,38,25000.0,13.0,6.0,6.0,0.5,0.5,35.0,14.0,60.0,13.0,45.0,-5.0,2,36-40,"Below N50,000",Bank L,Female,Bank L,Lagos,Secondary school leaving certificate,Self Employed,No,,
31457,19,25000.0,2.0,0.5,6.0,0.5,0.5,21.0,40.0,72.0,50.0,40.0,30.0,3,18-20,"Below N50,000",Bank A,Female,Bank A,Lagos,Secondary school leaving certificate,Student,Yes,Bank A,Bank C
31458,19,25000.0,2.0,0.5,6.0,0.5,0.5,21.0,40.0,72.0,50.0,40.0,30.0,3,18-20,"Below N50,000",Bank A,Female,Bank A,Lagos,Secondary school leaving certificate,Student,Yes,Bank A,Bank C
31460,33,75000.0,10.0,6.0,30.0,0.0,0.0,40.0,-30.0,18.0,12.0,-3.0,15.0,0,31-35,"N50,000 - N100,000",Bank E,Male,Bank E,Lagos,Secondary school leaving certificate,Self Employed,No,,
31461,33,75000.0,10.0,0.5,6.0,6.0,0.0,40.0,40.0,60.0,30.0,10.0,10.0,3,31-35,"N50,000 - N100,000",Bank J,Female,,Lagos,OND/HND,Self Employed,No,,
31462,33,75000.0,12.0,0.5,6.0,6.0,0.0,10.0,-40.0,-30.0,20.0,-40.0,-10.0,0,31-35,"N50,000 - N100,000",Bank C,Female,,Lagos,OND/HND,Self Employed,No,,
31463,50.5,25000.0,15.0,6.0,30.0,0.5,0.0,7.0,0.0,46.0,1.0,14.0,-4.0,2,41-60,"Below N50,000",Bank A,Female,Bank A,Lagos,OND/HND,Self Employed,No,,
31467,25.5,25000.0,3.0,0.5,6.0,0.5,0.5,71.0,22.0,51.0,60.0,10.0,-18.0,0,21-30,"Below N50,000",Bank A,Male,Bank C,Lagos,Bachelor's Decree,Student,No,,
31468,50.5,25000.0,25.0,6.0,30.0,6.0,0.0,52.0,17.0,91.0,9.0,12.0,18.0,2,41-60,"Below N50,000",Bank H,Female,Bank H,Lagos,Primary School leaving certificate,Self Employed,No,,
31469,25.5,75000.0,10.0,6.0,6.0,2.0,0.0,52.0,42.0,-41.0,35.0,0.0,4.0,0,21-30,"N50,000 - N100,000",Bank B,Male,,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31470,25.5,75000.0,12.0,6.0,6.0,2.0,0.0,32.0,14.0,-51.0,7.0,-12.0,8.0,0,21-30,"N50,000 - N100,000",Bank A,Male,,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31473,38,75000.0,12.0,6.0,30.0,6.0,0.0,31.0,-8.0,9.0,0.0,8.0,-6.0,0,36-40,"N50,000 - N100,000",Bank F,Female,Bank F,Lagos,Secondary school leaving certificate,Self Employed,No,,
31474,38,175000.0,10.0,2.0,2.0,2.0,0.0,30.0,14.0,97.0,39.0,12.0,7.0,2,36-40,"N101,000 - N250,000",Bank H,Female,Bank H,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
31475,38,175000.0,12.0,2.0,2.0,2.0,0.0,42.0,21.0,65.0,25.0,0.0,0.0,2,36-40,"N101,000 - N250,000",Bank J,Female,Bank H,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
31476,38,175000.0,13.0,2.0,2.0,2.0,0.0,60.0,28.0,72.0,26.0,12.0,14.0,2,36-40,"N101,000 - N250,000",Bank G,Female,Bank H,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
31477,38,25000.0,15.0,6.0,30.0,0.5,0.0,6.0,0.0,-20.0,-19.0,22.0,0.0,0,36-40,"Below N50,000",Bank P,Female,Bank P,Lagos,Primary School leaving certificate,Self Employed,No,,
31478,33,25000.0,6.0,6.0,30.0,0.0,0.0,77.0,21.0,0.0,9.0,7.0,7.0,0,31-35,"Below N50,000",Bank K,Female,Bank K,Lagos,Secondary school leaving certificate,Self Employed,No,,
31483,19,25000.0,1.0,0.5,2.0,0.0,0.0,16.0,30.0,-13.0,28.0,6.0,8.0,0,18-20,"Below N50,000",Bank H,Male,Bank H,Lagos,Bachelor's Decree,Student,No,,
31486,19,25000.0,2.0,0.5,2.0,0.5,0.0,50.0,20.0,40.0,20.0,40.0,0.0,0,18-20,"Below N50,000",Bank H,Female,Bank C,Lagos,Secondary school leaving certificate,Student,No,,
31487,19,25000.0,3.0,0.5,2.0,0.5,0.0,40.0,30.0,180.0,50.0,0.0,20.0,3,18-20,"Below N50,000",Bank C,Female,Bank C,Lagos,Secondary school leaving certificate,Student,No,,
31491,33,25000.0,10.0,6.0,30.0,0.0,0.0,69.0,36.0,115.0,33.0,41.0,30.0,3,31-35,"Below N50,000",Bank H,Female,,Lagos,No Response,Self Employed,No,,
31496,19,75000.0,4.0,6.0,30.0,0.5,30.0,72.0,10.0,10.0,7.0,28.0,7.0,1,18-20,"N50,000 - N100,000",Bank C,Male,Bank C,Lagos,Bachelor's Decree,Student,No,,
31497,25.5,75000.0,2.0,2.0,2.0,0.5,0.5,46.0,9.0,43.0,10.0,0.0,6.0,0,21-30,"N50,000 - N100,000",Bank C,Male,Bank C,Lagos,Bachelor's Decree,Student,No,,
31504,25.5,25000.0,4.0,0.5,6.0,0.5,6.0,-22.0,-18.0,-8.0,16.0,-4.0,0.0,0,21-30,"Below N50,000",Bank B,Male,,Lagos,Bachelor's Decree,Self Employed,No,,
31505,19,25000.0,1.0,6.0,6.0,0.0,2.0,-36.0,-22.0,-41.0,20.0,-10.0,0.0,0,18-20,"Below N50,000",Bank D,Male,Bank O,Lagos,Bachelor's Decree,Student,No,,
31506,19,25000.0,5.0,6.0,6.0,0.0,2.0,-34.0,-11.0,25.0,30.0,30.0,10.0,0,18-20,"Below N50,000",Bank G,Male,Bank O,Lagos,Bachelor's Decree,Student,No,,
31507,19,25000.0,2.0,6.0,6.0,0.0,2.0,36.0,33.0,129.0,50.0,30.0,30.0,3,18-20,"Below N50,000",Bank C,Male,Bank O,Lagos,Bachelor's Decree,Student,No,,
31508,19,25000.0,3.0,6.0,6.0,0.0,2.0,36.0,33.0,144.0,60.0,50.0,30.0,3,18-20,"Below N50,000",Bank I,Male,Bank O,Lagos,Bachelor's Decree,Student,No,,
31513,19,25000.0,5.0,0.5,6.0,0.0,0.0,-2.0,-6.0,-27.0,-18.0,-16.0,0.0,0,18-20,"Below N50,000",Bank A,Male,Bank A,Lagos,Bachelor's Decree,Student,Yes,Bank A,Bank G
31519,50.5,375000.0,20.0,6.0,6.0,0.5,0.0,54.0,36.0,108.0,40.0,50.0,20.0,2,41-60,"N251,000 - N500,000",Bank B,Female,,Lagos,Primary School leaving certificate,Civil/Public Servant,No,,
31520,50.5,375000.0,17.0,6.0,6.0,0.5,0.0,63.0,36.0,126.0,60.0,20.0,20.0,2,41-60,"N251,000 - N500,000",Bank A,Female,,Lagos,Primary School leaving certificate,Civil/Public Servant,No,,
31522,25.5,175000.0,4.0,0.5,6.0,6.0,6.0,5.0,18.0,88.0,35.0,35.0,14.0,3,21-30,"N101,000 - N250,000",Bank D,Female,Bank B,Lagos,Master's Degree,Private Sector Employee,No,,
31523,25.5,175000.0,3.0,0.5,6.0,6.0,6.0,29.0,18.0,76.0,7.0,21.0,7.0,0,21-30,"N101,000 - N250,000",Bank B,Female,Bank B,Lagos,Master's Degree,Private Sector Employee,No,,
31524,25.5,175000.0,3.0,0.5,6.0,6.0,6.0,29.0,0.0,-11.0,7.0,7.0,7.0,0,21-30,"N101,000 - N250,000",Bank C,Female,Bank B,Lagos,Master's Degree,Private Sector Employee,No,,
31528,19,25000.0,1.0,30.0,30.0,2.0,30.0,42.0,38.0,58.0,0.0,0.0,0.0,1,18-20,"Below N50,000",Bank O,Female,Bank O,Lagos,Secondary school leaving certificate,Student,Yes,Bank C,Bank H
31530,33,75000.0,7.0,2.0,6.0,0.5,30.0,10.0,-30.0,-61.0,-30.0,-30.0,0.0,1,31-35,"N50,000 - N100,000",Bank F,Female,Bank E,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31531,33,75000.0,10.0,2.0,6.0,0.5,30.0,30.0,30.0,56.0,20.0,30.0,10.0,1,31-35,"N50,000 - N100,000",Bank E,Female,Bank E,Lagos,Bachelor's Decree,Private Sector Employee,No,,
31532,33,375000.0,10.0,2.0,6.0,6.0,2.0,80.0,30.0,10.0,18.0,16.0,4.0,2,31-35,"N251,000 - N500,000",Bank C,Female,,Lagos,Bachelor's Decree,Civil/Public Servant,No,,
